key,lang,value
home_3_btn2_sub,en,You have completed the minor pilgrimage
home_3_btn2_sub,fr,Vous avez accompli le petit pèlerinage (Omra)
home_3_btn2_sub,id,Anda telah menunaikan umrah
home_3_btn2_sub,kk,Сіз кіші қажылықты орындадыңыз
home_3_btn2_sub,ms,Anda telah menunaikan umrah
home_3_btn2_sub,ru,Вы совершили малое паломничество
home_3_btn2_sub,tr,Umreyi tamamladınız
home_3_btn2_sub,uz,Siz kichik hajni ado qildingiz
home_3_btn3,ar,العمرة القادمة
home_3_btn3,en,Next Umrah
home_3_btn3,fr,Prochaine Omra
home_3_btn3,id,Umrah berikutnya
home_3_btn3,kk,Келесі умра
home_3_btn3,ms,Umrah seterusnya
home_3_btn3,ru,Следующая умра
home_3_btn3,tr,Bir sonraki umre
home_3_btn3,uz,Keyingi umra
home_3_btn3_sub,ar,متى ترغبون في أداء العمرة مرة أخرى؟
home_3_btn3_sub,en,When would you like to perform Umrah again?
home_3_btn3_sub,fr,Quand souhaitez-vous accomplir la Omra à nouveau ?
home_3_btn3_sub,id,Kapan Anda ingin menunaikan umrah lagi?
home_3_btn3_sub,kk,Қашан тағы да умра жасағыңыз келеді?
home_3_btn3_sub,ms,Bilakah anda ingin menunaikan umrah lagi?
home_3_btn3_sub,ru,Когда вы еще хотите совершить умру?
home_3_btn3_sub,tr,Bir sonraki umreyi ne zaman yapmak istersiniz?
home_3_btn3_sub,uz,Qachon yana umra qilishni xohlaysiz?
home_btn2_sub,ar,الدليل الصوتي الروحاني للعمرة
home_btn2_sub,en,Spiritual voice guide for Umrah
home_btn2_sub,fr,Guide vocal spirituel pour la Omra
home_btn2_sub,id,Panduan suara spiritual untuk Umrah
home_btn2_sub,kk,Умраға арналған рухани дыбыстық жетекші
home_btn2_sub,ms,Panduan suara rohani untuk Umrah
home_btn2_sub,ru,Голосовой гид для умры
home_btn2_sub,tr,Umre için manevi sesli rehber
home_btn2_sub,uz,O‘mra uchun ovozli ruhiy yo‘lko‘rsatgich
home_btn3,ar,أدعـيتي
home_btn3,en,My Duas
home_btn3,fr,Mes invocations
home_btn3,id,Doa-doa saya
home_btn3,kk,Менің дұғаларым
home_btn3,ms,Doa-doa saya
home_btn3,ru,Мои Дуа
home_btn3,tr,Benim dualarım
home_btn3,uz,Mening duolarim
home_btn5,ar,الخروج من وضع العمرة
home_btn5,en,Exit Umrah mode
home_btn5,fr,Quitter le mode Omra
home_btn5,id,Keluar dari mode Umrah
home_btn5,kk,Умра режимінен шығу
home_btn5,ms,Keluar dari mod Umrah
home_btn5,ru,Выйти из режима умры
home_btn5,tr,Umre modundan çık
home_btn5,uz,O‘mra rejimidan chiqish
home_btn5_sub,ar,إنهاء جلسة العمرة
home_btn5_sub,en,End Umrah session
home_btn5_sub,fr,Terminer la session de la Omra
home_btn5_sub,id,Akhiri sesi Umrah
home_btn5_sub,kk,Умра сеансын аяқтау
home_btn5_sub,ms,Tamatkan sesi Umrah
home_btn5_sub,ru,Завершить сеанс умры
home_btn5_sub,tr,Umre oturumunu sonlandır
home_btn5_sub,uz,O‘mra seansini yakunlash
home_btnp,ar,Premium Umrah
home_btnp,en,Premium Umrah
home_btnp,fr,Premium Umrah
home_btnp,id,Premium Umrah
home_btnp,kk,Premium Umrah
home_btnp,ms,Premium Umrah
home_btnp,ru,Premium Umrah
home_btnp,tr,Premium Umrah
home_btnp,uz,Premium Umrah
home1_btn,ar,ابدأوا العمرة
home1_btn,en,Start Umrah
home1_btn,fr,Commencer la Omra
home1_btn,id,Memulai umrah
home1_btn,kk,Умраны бастау
home1_btn,ms,Memulakan umrah
home1_btn,ru,Начать умру
home1_btn,tr,Umreye başlamak
home1_btn,uz,Umrani boshlash
home1_btn2,ar,مستوى الازدحام في الحرم
home1_btn2,en,Al-Haram crowd level
home1_btn2,fr,Affluence d’Al-Haram
home1_btn2,id,Kepadatan Al-Haram
home1_btn2,kk,Әл-Харам жүктемесі
home1_btn2,ms,Kesesakan Al-Haram
home1_btn2,ru,Загруженность Аль-Харама
home1_btn2,tr,El-Harem yoğunluğu
home1_btn2,uz,Al-Haram gavjumligi
home1_btn3,ar,محظورات الإحرام
home1_btn3,en,Ihram restrictions
home1_btn3,fr,Interdictions de l’ihram
home1_btn3,id,Larangan ihram
home1_btn3,kk,Ихрам тыйымдары
home1_btn3,ms,Larangan ihram
home1_btn3,ru,Запреты ихрама
home1_btn3,tr,İhram yasakları
home1_btn3,uz,Ihram taqiqlari
home1_btn3_sub,ar,تُفرض غرامة عند مخالفة المحظورات
home1_btn3_sub,en,A penalty is applied if the restrictions are violated
home1_btn3_sub,fr,Une pénalité est appliquée en cas de non-respect des interdictions
home1_btn3_sub,id,"Jika larangan dilanggar, akan dikenakan denda"
home1_btn3_sub,kk,Тыйымдарды бұзған жағдайда айыппұл қарастырылған
home1_btn3_sub,ms,"Jika larangan dilanggar, denda akan dikenakan"
home1_btn3_sub,ru,При не соблюдении запретов предназначен штраф
home1_btn3_sub,tr,Yasaklara uyulmazsa ceza uygulanır
home1_btn3_sub,uz,"Agar taqiqlar buzilsa, jarima belgilanadi"
home1_btn6_sub,ar,قص الشعر وحلقه
home1_btn6_sub,en,Hair cutting and shaving
home1_btn6_sub,fr,Coupe et rasage des cheveux
home1_btn6_sub,id,Memotong dan mencukur rambut
home1_btn6_sub,kk,Шашты қысқарту және қыру
home1_btn6_sub,ms,Rambut dipotong dan dicukur
home1_btn6_sub,ru,Стрижка и бритье волос
home1_btn6_sub,tr,Saç kesimi ve tıraş
home1_btn6_sub,uz,Sochni qisqartirish va qirish
home1_sub,ar,بهدوء. بوعي. دون استعجال.
home1_sub,en,Calmly. Mindfully. Without haste.
home1_sub,fr,Calmement. En pleine conscience. Sans précipitation.
home1_sub,id,Tenang. Penuh kesadaran. Tanpa tergesa-gesa.
home1_sub,kk,Сабырмен. Саналы түрде. Асықпай.
home1_sub,ms,Tenang. Sedar sepenuhnya. Tanpa tergesa-gesa.
home1_sub,ru,Спокойно. Осознанно. Без спешки.
home1_sub,tr,Sakin. Bilinçli. Acele etmeden.
home1_sub,uz,Tinch. Ongli ravishda. Shoshilmasdan.
home1_title,ar,أنتم في مكة. أدّوا العمرة.
home1_title,en,You are in Makkah. Perform Umrah.
home1_title,fr,Vous êtes à La Mecque. Accomplissez la Omra.
home1_title,id,Anda berada di Makkah. Tunaikan umrah.
home1_title,kk,Сіз Меккедесіз. Умраны орындаңыз.
home1_title,ms,Anda berada di Makkah. Tunaikan umrah.
home1_title,ru,Вы в Мекке. Совершите Умру.
home1_title,tr,Mekke’dəsiniz. Umreyi eda edin.
home1_title,uz,Siz Makkadasiz. Umrani ado eting.
home1_title2,ar,أدّوا العمرة مع المرشد الصوتي
home1_title2,en,Perform Umrah with your Voice Guide
home1_title2,fr,Accomplissez la Omra avec votre guide vocal
home1_title2,id,Tunaikan umrah bersama pemandu suara
home1_title2,kk,Умраны дауыс жетекшісімен орындаңыз
home1_title2,ms,Tunaikan umrah bersama pemandu suara
home1_title2,ru,Совершите умру с голосовым гидом
home1_title2,tr,Sesli rehber eşliğinde umreyi eda edin
home1_title2,uz,Umrani ovozli yo‘l ko‘rsatuvchi bilan ado eting
home1_title2_sub,ar,بشكل صحيح وبدون أخطاء
home1_title2_sub,en,Correctly and without mistakes
home1_title2_sub,fr,Correctement et sans erreurs
home1_title2_sub,id,Dengan benar dan tanpa kesalahan
home1_title2_sub,kk,Дұрыс және қателіксіз
home1_title2_sub,ms,Dengan betul dan tanpa kesilapan
home1_title2_sub,ru,Правильно и без ошибок
home1_title2_sub,tr,Doğru ve hatasız
home1_title2_sub,uz,To‘g‘ri va xatosiz
home1_title3,ar,هل اكتملت عمرتكم؟ واصلوا العبادة.
home1_title3,en,Is your Umrah complete? Continue your worship.
home1_title3,fr,Votre Omra est-elle terminée ? Poursuivez votre adoration.
home1_title3,id,Umrah sudah selesai? Lanjutkan ibadah Anda.
home1_title3,kk,Умра аяқталды ма? Ғибадатты жалғастырыңыз.
home1_title3,ms,Umrah sudah selesai? Teruskan ibadah.
home1_title3,ru,Умра завершена? Продолжите поклонение.
home1_title3,tr,Umre tamamlandı mı? İbadete devam edin.
home1_title3,uz,Umra yakunlandimi? Ibodatni davom ettiring.
home1_title3_sub,ar,ابدؤوا طواف النافلة.
home1_title3_sub,en,Begin the voluntary (nafl) tawaf.
home1_title3_sub,fr,Commencez le tawaf surérogatoire (nafl).
home1_title3_sub,id,Mulailah tawaf sunnah (nafl).
home1_title3_sub,kk,Нәпіл тауапты бастаңыз.
home1_title3_sub,ms,Mulakan tawaf sunat (nafl).
home1_title3_sub,ru,Начните нафль таваф.
home1_title3_sub,tr,Naﬁl tavafa başlayın.
home1_title3_sub,uz,Nafl tavofni boshlang.
home2_3_subtitle,ar,الطريق يستمر في داخلكم
home2_3_subtitle,en,The journey continues within you
home2_3_subtitle,fr,Le chemin continue en vous
home2_3_subtitle,id,Perjalanan berlanjut di dalam diri Anda
home2_3_subtitle,kk,Жол ішіңізде жалғасады
home2_3_subtitle,ms,Perjalanan diteruskan dalam diri anda
home2_3_subtitle,ru,Путь продолжается внутри
home2_3_subtitle,tr,Yolculuk içinizde devam ediyor
home2_3_subtitle,uz,Yo‘l ichingizda davom etadi
home2_3title,ar,مرحبًا بكم في حياتكم الجديدة بعد العمرة
home2_3title,en,Welcome to your new life after Umrah
home2_3title,fr,Bienvenue dans votre nouvelle vie après la Omra
home2_3title,id,Selamat datang di kehidupan baru setelah umrah
home2_3title,kk,Умрадан кейінгі жаңа өмірге қош келдіңіз
home2_3title,ms,Selamat datang ke kehidupan baharu selepas umrah
home2_3title,ru,Добро пожаловать в новую жизнь после умры
home2_3title,tr,Umreden sonraki yeni hayata hoş geldiniz
home2_3title,uz,Umradan keyingi yangi hayotga xush kelibsiz
home2_title2,ar,يسرّنا أن نكون قد ساعدناكم على أداء العمرة!
home2_title2,en,We are honored to have helped you perform Umrah!
home2_title2,fr,Nous sommes honorés d’avoir pu vous aider à accomplir la Omra !
home2_title2,id,Kami bersyukur dapat membantu Anda menunaikan umrah!
home2_title2,kk,Сізге умраны орындауға көмектескенімізге қуаныштымыз!
home2_title2,ms,Kami gembira dapat membantu anda menunaikan umrah!
home2_title2,ru,Мы рады что помогли вам совершить умру!
home2_title2,tr,Umreyi yapmanıza yardımcı olabildiysek ne mutlu bize!
home2_title2,uz,Sizga umrani ado etishda yordam berganimizdan xursandmiz!
home2_title2_sub,ar,خدمة ضيوف الله هي رسالتنا
home2_title2_sub,en,Serving the guests of Allah is our mission
home2_title2_sub,fr,Servir les invités d’Allah est notre mission
home2_title2_sub,id,Melayani tamu-tamu Allah adalah tugas kami
home2_title2_sub,kk,Алланың қонақтарына қызмет ету — біздің міндетіміз
home2_title2_sub,ms,Tugas kami adalah berkhidmat kepada tetamu Allah
home2_title2_sub,ru,Служить гостям Аллаха — наша работа
home2_title2_sub,tr,Allah’ın misafirlerine hizmet etmek bizim görevimizdir
home2_title2_sub,uz,Alloh mehmonlariga xizmat qilish — bizning vazifamiz
home2_title3,ar,حافظوا على نور العمرة في حياتكم اليومية
home2_title3,en,Preserve the light of Umrah in your daily life
home2_title3,fr,Préservez la lumière de la Omra dans votre vie quotidienne
home2_title3,id,Pertahankan cahaya umrah dalam kehidupan sehari-hari
home2_title3,kk,Умраның нұрын күнделікті өміріңізде сақтаңыз
home2_title3,ms,Kekalkan cahaya umrah dalam kehidupan seharian anda
home2_title3,ru,Сохраните свет умры в повседневной жизни
home2_title3,tr,Umrenin nurunu günlük hayatınızda koruyun
home2_title3,uz,Umraning nurini kundalik hayotingizda saqlang
home2_title3_sub,ar,مع برنامج الحياة بعد العمرة
home2_title3_sub,en,With the Life After Umrah program
home2_title3_sub,fr,Avec le programme Vie après la Omra
home2_title3_sub,id,Dengan program Kehidupan Setelah Umrah
home2_title3_sub,kk,Умрадан кейінгі өмір бағдарламасымен
home2_title3_sub,ms,Dengan program Kehidupan Selepas Umrah
home2_title3_sub,ru,С программой жизнь после умры
home2_title3_sub,tr,Umre Sonrası Hayat programı ile
home2_title3_sub,uz,Umradan keyingi hayot dasturi bilan
safa1_sarab1,ar,اللهم اغفر لي ذنوبي وارحمني واهدني إلى الصراط المستقيم
safa1_sarab1,en,"O Allah, forgive my sins, have mercy on me, and guide me to the straight path."
safa1_sarab1,fr,"Ô Allah, pardonne mes péchés, fais-moi miséricorde et guide-moi vers le droit chemin."
safa1_sarab1,id,"Ya Allah, ampunilah dosa-dosaku, rahmatilah aku, dan tunjukilah aku ke jalan yang lurus."
safa1_sarab1,kk,"Уа, Алла, менің күнәларымды кешір, маған рақым ет және мені тура жолға сал."
safa1_sarab1,ms,"Ya Allah, ampunilah dosaku, rahmatilah aku dan tunjukilah aku ke jalan yang lurus."
safa1_sarab1,ru,"О Аллах, прости мои грехи, помилуй меня и направь меня на прямой путь."
safa1_sarab1,tr,"Ey Allah’ım, günahlarımı bağışla, bana merhamet et ve beni doğru yola ilet."
safa1_sarab1,uz,"Ey Alloh, mening gunohlarimni mag‘firat qil, menga rahm qil va meni to‘g‘ri yo‘lga hidoyat qil."
safa1_text1,ar,ابدؤوا السير بشكر ونية صادقة. ذكر: الله أكبر، لا إله إلا الله.
safa1_text1,en,"Begin the movement with gratitude and sincere intention. Dhikr: Allahu Akbar, la ilaha illallah."
safa1_text1,fr,"Commencez le mouvement avec gratitude et une intention sincère. Dhikr: Allahu Akbar, la ilaha illallah."
safa1_text1,id,"Mulailah pergerakan dengan rasa syukur dan niat yang tulus. Zikir: Allahu Akbar, la ilaha illallah."
safa1_text1,kk,"Қозғалысты ризашылық пен шынайы ниетпен бастаңыз. Зикр: Allahu Akbar, la ilaha illallah."
safa1_text1,ms,"Mulakan pergerakan dengan rasa syukur dan niat yang ikhlas. Zikir: Allahu Akbar, la ilaha illallah."
safa1_text1,ru,"Начните движение с благодарностью и искренним намерением. Зикр: Аллаху Акбар, ля иляха иллаллах."
safa1_text1,tr,"Harekete şükür ve samimi niyetle başlayın. Zikir: Allahu Akbar, la ilaha illallah."
safa1_text1,uz,"Harakatni shukronalik va samimiy niyat bilan boshlang. Zikr: Allahu Akbar, la ilaha illallah."
safa1_text2,ar,اللَّهُمَّ اغْفِرْ لِي ذُنُوبِي، وَارْحَمْنِي بِرَحْمَتِكَ، وَاهْدِنِي إِلَى الصِّرَاطِ الْمُسْتَقِيمِ
safa1_text2,en,اللَّهُمَّ اغْفِرْ لِي ذُنُوبِي، وَارْحَمْنِي بِرَحْمَتِكَ، وَاهْدِنِي إِلَى الصِّرَاطِ الْمُسْتَقِيمِ
safa1_text2,fr,اللَّهُمَّ اغْفِرْ لِي ذُنُوبِي، وَارْحَمْنِي بِرَحْمَتِكَ، وَاهْدِنِي إِلَى الصِّرَاطِ الْمُسْتَقِيمِ
safa1_text2,id,اللَّهُمَّ اغْفِرْ لِي ذُنُوبِي، وَارْحَمْنِي بِرَحْمَتِكَ، وَاهْدِنِي إِلَى الصِّرَاطِ الْمُسْتَقِيمِ
safa1_text2,kk,اللَّهُمَّ اغْفِرْ لِي ذُنُوبِي، وَارْحَمْنِي بِرَحْمَتِكَ، وَاهْدِنِي إِلَى الصِّرَاطِ الْمُسْتَقِيمِ
safa1_text2,ms,اللَّهُمَّ اغْفِرْ لِي ذُنُوبِي، وَارْحَمْنِي بِرَحْمَتِكَ، وَاهْدِنِي إِلَى الصِّرَاطِ الْمُسْتَقِيمِ
safa1_text2,ru,اللَّهُمَّ اغْفِرْ لِي ذُنُوبِي، وَارْحَمْنِي بِرَحْمَتِكَ، وَاهْدِنِي إِلَى الصِّرَاطِ الْمُسْتَقِيمِ
safa1_text2,tr,اللَّهُمَّ اغْفِرْ لِي ذُنُوبِي، وَارْحَمْنِي بِرَحْمَتِكَ، وَاهْدِنِي إِلَى الصِّرَاطِ الْمُسْتَقِيمِ
safa1_text2,uz,اللَّهُمَّ اغْفِرْ لِي ذُنُوبِي، وَارْحَمْنِي بِرَحْمَتِكَ، وَاهْدِنِي إِلَى الصِّرَاطِ الْمُسْتَقِيمِ
safa1_title1,ar,الشوط الأول
safa1_title1,en,1st passage
safa1_title1,fr,1er passage
safa1_title1,id,Putaran pertama
safa1_title1,kk,1-ші өту
safa1_title1,ms,Lintasan pertama
safa1_title1,ru,1-й проход
safa1_title1,tr,1. geçiş
safa1_title1,uz,1-bosqich yurish
safa2_sarab1,ar,اللهم إني أسألك رضاك والجنة وأعوذ بك من سخطك والنار
safa2_sarab1,en,"O Allah, I ask for Your pleasure and Paradise, and I seek refuge from Your anger and the Fire."
safa2_sarab1,fr,"Ô Allah, je Te demande Ton agrément et le Paradis, et je cherche refuge contre Ta colère et le Feu."
safa2_sarab1,id,"Ya Allah, aku memohon keridaan-Mu dan Surga, serta berlindung kepada-Mu dari murka-Mu dan Api Neraka."
safa2_sarab1,kk,"Уа, Алла, Сенің разылығыңды және Жәннатты сұраймын, әрі Сенің қаһарыңнан және Тозақтан пана тілеймін."
safa2_sarab1,ms,"Ya Allah, aku memohon keredaan-Mu dan Syurga-Mu, dan aku berlindung kepada-Mu daripada kemurkaan-Mu dan Api Neraka."
safa2_sarab1,ru,"О Аллах, я прошу Твоего довольства и Рая и ищу защиты от Твоего гнева и Огня."
safa2_sarab1,tr,"Ey Allah’ım, Senden rızanı ve Cennetini istiyorum ve gazabından ve ateşten Sana sığınıyorum."
safa2_sarab1,uz,"Ey Alloh, Sendan O‘zingning roziligingni va Jannatni so‘rayman va Sening g‘azabingdan hamda Do‘zaxdan panoh so‘rayman."
safa2_text1,ar,امشوا كهاجر بإيمان وثقة بالله. ذكر: حسبي الله ونعم الوكيل.
safa2_text1,en,"Walk like Hajar with faith, trusting in Allah. Dhikr: Hasbiyallahu wa ni mal wakil."
safa2_text1,fr,"Marchez comme Hajar avec foi, en plaçant votre confiance en Allah. Dhikr: Hasbiyallahu wa ni mal wakil."
safa2_text1,id,Berjalanlah seperti Hajar dengan iman dan bertawakal kepada Allah. Zikir: Hasbiyallahu wa ni mal wakil.
safa2_text1,kk,"Хаджар сияқты иманмен, Аллаға тәуекел етіп жүріңіз. Зикр: Hasbiyallahu wa ni mal wakil."
safa2_text1,ms,Berjalanlah seperti Hajar dengan iman dan bertawakal kepada Allah. Zikir: Hasbiyallahu wa ni mal wakil.
safa2_text1,ru,"Идите как Хаджар с верой, доверяя Аллаху. Зикр: Хасби Аллаху ва ни мал вакиль. Аллах мне достаточен, и Он лучший покровитель."
safa2_text1,tr,Hacer gibi imanla yürüyün ve Allah’a tevekkül edin. Zikir: Hasbiyallahu wa ni mal wakil.
safa2_text1,uz,"Hajar kabi imon bilan, Allohga tavakkal qilib yuring. Zikr: Hasbiyallahu wa ni mal wakil."
safa2_text2,ar,اللَّهُمَّ إِنِّي أَسْأَلُكَ رِضَاكَ وَالْجَنَّةَ، وَأَعُوذُ بِكَ مِنْ سَخَطِكَ وَالنَّارِ
safa2_text2,en,اللَّهُمَّ إِنِّي أَسْأَلُكَ رِضَاكَ وَالْجَنَّةَ، وَأَعُوذُ بِكَ مِنْ سَخَطِكَ وَالنَّارِ
safa2_text2,fr,اللَّهُمَّ إِنِّي أَسْأَلُكَ رِضَاكَ وَالْجَنَّةَ، وَأَعُوذُ بِكَ مِنْ سَخَطِكَ وَالنَّارِ
safa2_text2,id,اللَّهُمَّ إِنِّي أَسْأَلُكَ رِضَاكَ وَالْجَنَّةَ، وَأَعُوذُ بِكَ مِنْ سَخَطِكَ وَالنَّارِ
safa2_text2,kk,اللَّهُمَّ إِنِّي أَسْأَلُكَ رِضَاكَ وَالْجَنَّةَ، وَأَعُوذُ بِكَ مِنْ سَخَطِكَ وَالنَّارِ
safa2_text2,ms,اللَّهُمَّ إِنِّي أَسْأَلُكَ رِضَاكَ وَالْجَنَّةَ، وَأَعُوذُ بِكَ مِنْ سَخَطِكَ وَالنَّارِ
safa2_text2,ru,اللَّهُمَّ إِنِّي أَسْأَلُكَ رِضَاكَ وَالْجَنَّةَ، وَأَعُوذُ بِكَ مِنْ سَخَطِكَ وَالنَّارِ
safa2_text2,tr,اللَّهُمَّ إِنِّي أَسْأَلُكَ رِضَاكَ وَالْجَنَّةَ، وَأَعُوذُ بِكَ مِنْ سَخَطِكَ وَالنَّارِ
safa2_text2,uz,اللَّهُمَّ إِنِّي أَسْأَلُكَ رِضَاكَ وَالْجَنَّةَ، وَأَعُوذُ بِكَ مِنْ سَخَطِكَ وَالنَّارِ
safa2_title1,ar,الشوط الثاني
safa2_title1,en,2nd passage
safa2_title1,fr,2e passage
safa2_title1,id,Putaran kedua
safa2_title1,kk,2-ші өту
safa2_title1,ms,Lintasan kedua
safa2_title1,ru,2-й проход
safa2_title1,tr,2. geçiş
safa2_title1,uz,2-bosqich yurish
safa3_sarab1,ar,اللهم أصلح لي ديني ودنياي وبارك لي في حياتي ورزقي
safa3_sarab1,en,"O Allah, make my religion and worldly life right, and bless my life and provision."
safa3_sarab1,fr,"Ô Allah, améliore ma religion et ma vie d’ici-bas et bénis ma vie et ma subsistance."
safa3_sarab1,id,"Ya Allah, perbaikilah agamaku dan kehidupanku di dunia, serta berkahilah hidupku dan rezekiku."
safa3_sarab1,kk,"Уа, Алла, менің дінімді және дүниелік өмірімді түзетіп, өмірім мен ризық-несібеме береке бере гөр."
safa3_sarab1,ms,"Ya Allah, perbaikilah agamaku dan kehidupanku di dunia serta berkatilah hidupku dan rezekiku."
safa3_sarab1,ru,"О Аллах, исправь мою религию и мою мирскую жизнь и благослови мою жизнь и мой удел."
safa3_sarab1,tr,"Ey Allah’ım, dinimi ve dünya hayatımı düzelt ve hayatıma ve rızkıma bereket ver."
safa3_sarab1,uz,"Ey Alloh, mening dinimni va dunyoviy hayotimni to‘g‘ri qil hamda hayotim va rizqimga baraka ber."
safa3_text1,ar,اطلبوا المغفرة والرحمة لأنفسكم ولأحبابكم. دعاء: أستغفر الله وأتوب إليه.
safa3_text1,en,Ask for forgiveness and mercy for yourself and your loved ones. Dua: Astagfirullah wa atubu ilayh.
safa3_text1,fr,Demandez le pardon et la miséricorde pour vous-même et vos proches. Dua: Astagfirullah wa atubu ilayh.
safa3_text1,id,Mohon ampunan dan rahmat untuk diri sendiri dan orang terdekat. Doa: Astagfirullah wa atubu ilayh.
safa3_text1,kk,Өзіңіз және жақындарыңыз үшін кешірім мен мейірім тілеңіз. Дуа: Astagfirullah wa atubu ilayh.
safa3_text1,ms,Mohon keampunan dan rahmat untuk diri sendiri dan orang terdekat. Doa: Astagfirullah wa atubu ilayh.
safa3_text1,ru,Просите прощения и милости для себя и близких. Дуа: Астагфируллах ва атубу илайх.
safa3_text1,tr,Kendiniz ve yakınlarınız için af ve merhamet isteyin. Dua: Astagfirullah wa atubu ilayh.
safa3_text1,uz,O‘zingiz va yaqinlaringiz uchun kechirim va rahmat so‘rang. Dua: Astagfirullah wa atubu ilayh.
safa3_text2,ar,اللَّهُمَّ أَصْلِحْ لِي دِينِي وَدُنْيَايَ، وَبَارِكْ لِي فِي عُمُرِي وَرِزْقِي
safa3_text2,en,اللَّهُمَّ أَصْلِحْ لِي دِينِي وَدُنْيَايَ، وَبَارِكْ لِي فِي عُمُرِي وَرِزْقِي
safa3_text2,fr,اللَّهُمَّ أَصْلِحْ لِي دِينِي وَدُنْيَايَ، وَبَارِكْ لِي فِي عُمُرِي وَرِزْقِي
